"Algorithm","x","y","NumLoss.G","NumLoss.SO","VisLoss.G","VisLoss.SO","TotalLoss.G","TotalLoss.SO","TotalLoss.LogFreq"
"Random",1,1,0,0,0,0,0,0,1.71243915121478e-05
"Random",2,1,0.000985286687697175,0,0.000599340325516587,0,0.00158462701321376,0,3.5735578466116e-05
"Random",3,1,0.00276090913525843,0,0.00156164423607086,0,0.00432255337132929,0,5.523198082061e-05
"Random",4,1,0.00574492336927078,0,0.00266090615106258,0,0.00840582952033335,0,7.50682042741086e-05
"Random",5,1,0.0076876330450598,0,0.00503331316266643,0,0.0127209462077262,0,9.5300562598464e-05
"Random",6,1,0.0113543479081329,0,0.00605523585439041,0,0.0174095837625233,0,0.000115721283262062
"Random",7,1,0.0157144969978598,0,0.0083775222828665,0,0.0240920192807263,0,0.000136437230764282
"Random",8,1,0.0201867657985967,0,0.0113092773426989,0,0.0314960431412956,0,0.000157499286021773
"Random",9,1,0.0258391653567518,0,0.0186982914031381,0,0.0445374567598899,0,0.000178138317419719
"Random",10,1,0.0313386830477117,0,0.0211769555727455,0,0.0525156386204572,0,0.000199547371069286
"Random",15,1,0.0583613933332766,0,0.0758799517403555,0,0.134241345073632,0,0.000309992809690554
"Random",20,1,0.0907680739523792,0,0.114768453352272,0,0.205536527304651,0,0.000427173305777352
"Random",1,2,0,0.000130912652732805,0,7.18738095459315e-05,0,0.000202786462278736,3.57010855780538e-05
"Random",2,2,0.00106436785846459,0.00015417745480783,0.000520259154749175,4.86090074709067e-05,0.00158462701321376,0.000202786462278736,7.46598895813375e-05
"Random",3,2,0.00314139114710927,0.000155422305684519,0.00103028187384,4.73641565942176e-05,0.00417167302094927,0.000202786462278736,0.000115200824826018
"Random",4,2,0.00574826827564733,0.000169233496892961,0.00184918603411338,3.35529653857748e-05,0.00759745430976071,0.000202786462278736,0.000155897252690295
"Random",5,2,0.00888636138942237,0.000168879134969135,0.00377363467676315,3.39073273096009e-05,0.0126599960661855,0.000202786462278736,0.000197977120951484
"Random",6,2,0.0127655128691355,0.000178258853762302,0.00527979236968413,2.45276085164341e-05,0.0180453052388196,0.000202786462278736,0.000240479187460529
"Random",7,2,0.0161860967208487,0.00018521666802379,0.00954919970929097,1.75697942549461e-05,0.0257352964301396,0.000202786462278736,0.000282760010232041
"Random",8,2,0.0219311641379236,0.000186288093572775,0.0113742165384169,1.64983687059612e-05,0.0333053806763406,0.000202786462278736,0.000326338407510347
"Random",9,2,0.0268156438862894,0.000180656621895643,0.0153095672717931,2.2129840383093e-05,0.0421252111580825,0.000202786462278736,0.000370243973499076
"Random",10,2,0.0325619820219951,0.000185437311441488,0.0200226567586968,1.7349150837248e-05,0.0525846387806919,0.000202786462278736,0.000413566254671255
"Random",15,2,0.0608584579391867,0.000187277961672427,0.049911332627919,1.55085006063092e-05,0.110769790567106,0.000202786462278736,0.000643743663244795
"Random",20,2,0.0955094312744874,0.000189701756909748,0.0968066653291828,1.30847053689884e-05,0.19231609660367,0.000202786462278736,0.000888470891685972
"Random",1,3,0,0.000385076477522154,0,0.000171485667560072,0,0.000556562145082226,5.51003101683131e-05
"Random",2,3,0.0011956593018919,0.000446121586987328,0.000388967711321861,0.000116700043503234,0.00158462701321376,0.000562821630490562,0.000114923309621905
"Random",3,3,0.00317127336549134,0.000453428771696255,0.000876199367035348,0.000106200521236055,0.00404747273252669,0.000559629292932311,0.000176532324414064
"Random",4,3,0.00563794152527961,0.000486118177457084,0.00178164570476482,6.13364163560127e-05,0.00741958723004443,0.000547454593813096,0.000239725306520992
"Random",5,3,0.00946653873040155,0.000477240877736187,0.00275070630761089,7.41884893112032e-05,0.0122172450380124,0.00055142936704739,0.000303777051207379
"Random",6,3,0.0136548351576291,0.000474342283168771,0.00566375303805611,5.11102194340229e-05,0.0193185881956852,0.000525452502602794,0.000368526925153033
"Random",7,3,0.0175742178154564,0.000490379417420387,0.00709793947915488,4.6747025468954e-05,0.0246721572946113,0.000537126442889341,0.000433560481793064
"Random",8,3,0.0228581160192671,0.000482184430503624,0.0145701008979454,4.36436412236699e-05,0.0374282169172125,0.000525828071727294,0.000499126445238314
"Random",9,3,0.0267163166126111,0.000514119726616569,0.0130049289628921,6.29109357509168e-05,0.0397212455755032,0.000577030662367485,0.000566509638742385
"Random",10,3,0.0329439475145529,0.000483554933645121,0.0164666838953398,4.35876300179238e-05,0.0494106314098927,0.000527142563663045,0.000633418191306952
"Random",15,3,0.0616961392616642,0.000498602734491916,0.0498096530146123,2.91031828578788e-05,0.111505792276277,0.000527705917349795,0.000985892501941665
"Random",20,3,0.0959515432884403,0.000489126341086979,0.0999464282998613,4.13963446965679e-05,0.195897971588302,0.000530522685783547,0.00136138974418691
"Random",1,4,0,0.00073157790249415,0,0.000256481869211741,0,0.000988059771705891,7.4960550421072e-05
"Random",2,4,0.00129399008530997,0.000787789706333444,0.000290636927903791,0.000166802683389209,0.00158462701321376,0.000954592389722653,0.000155901322766154
"Random",3,4,0.00344366986709112,0.000838081941721897,0.000738583178427484,0.000179606060916786,0.0041822530455186,0.00101768800263868,0.000239592406527981
"Random",4,4,0.00598128447183814,0.000849084663883119,0.00116352878678251,0.000166934142646675,0.00714481325862065,0.00101601880652979,0.000324152294641538
"Random",5,4,0.0092284538537893,0.000876587089157966,0.00290100764703558,0.000123323974921042,0.0121294615008249,0.000999911064079008,0.000410605125347227
"Random",6,4,0.0135679429999132,0.000886609442870363,0.00428232178597619,0.000127990546966874,0.0178502647858894,0.00101459998983724,0.00049848973584173
"Random",7,4,0.0173251451430359,0.000864735441961627,0.00688172107105894,8.58508770996906e-05,0.0242068662140949,0.000950586319061318,0.000586858462421882
"Random",8,4,0.0221946495303794,0.000967626559723556,0.0102324357730173,8.02738924860304e-05,0.0324270853033967,0.00104790045220959,0.000676549347163772
"Random",9,4,0.0287409366167967,0.000925246924496939,0.0126252727787034,0.000151780999812773,0.0413662093955001,0.00107702792430971,0.000768339214256756
"Random",10,4,0.0346251191644266,0.0009106079803638,0.0229397978483213,0.000112337990017886,0.0575649170127479,0.00102294597038169,0.000860315906932423
"Random",15,4,0.0631085430562338,0.000920550242268461,0.0557020661835634,6.22515616944274e-05,0.118810609239797,0.000982801803962889,0.00134145734700856
"Random",20,4,0.0913399576198288,0.000925028899669452,0.113448301280499,7.82205566273355e-05,0.204788258900328,0.00100324945629679,0.00185637475950555
"Random",1,5,0,0.00120299495941163,0,0.000393173819714138,0,0.00159616877912577,9.49816744537802e-05
"Random",2,5,0.00131459175251905,0.00133110260730779,0.000270035260694709,0.000348578139640863,0.00158462701321376,0.00167968074694865,0.000197493051598704
"Random",3,5,0.00338932233818326,0.00134300298453589,0.000611000284849676,0.000232040031336741,0.00400032262303293,0.00157504301587263,0.000302910201313526
"Random",4,5,0.00632515601214763,0.00137807203437074,0.00191323311934936,0.000203282629288633,0.00823838913149699,0.00158135466365937,0.000410237119031886
"Random",5,5,0.00955048000985683,0.00131341287777517,0.00273001517503748,0.000189646055901591,0.0122804951848943,0.00150305893367676,0.000520275218271029
"Random",6,5,0.0136337645392926,0.00141590997363486,0.0041659001290913,0.000205192422367451,0.0177996646683839,0.00162110239600231,0.000629222987027166
"Random",7,5,0.0187640126515678,0.00147323028631287,0.00807896635087397,0.000214744278801832,0.0268429790024417,0.0016879745651147,0.000742652726544543
"Random",8,5,0.0229343619344216,0.00137777939629711,0.00809922679961163,0.00017999787232419,0.0310335887340332,0.0015577772686213,0.000855499257757824
