"CRS_DEP_TIME","DEP_TIME","Freq"
375,765,7
375,780,8
375,795,7
375,810,7
375,825,6
375,840,3
375,855,5
375,870,5
375,885,3
375,915,2
375,930,3
375,945,1
375,960,2
375,990,1
375,1005,1
375,1020,2
375,1035,1
375,1080,1
375,1095,1
375,1110,2
375,1125,1
375,1155,1
375,1185,1
375,1215,1
375,1260,2
375,1290,1
390,345,1
390,360,8
390,375,17595
390,390,71113
390,405,4617
390,420,1316
390,435,678
390,450,477
390,465,318
390,480,246
390,495,191
390,510,137
390,525,89
390,540,91
390,555,78
390,570,75
390,585,56
390,600,43
390,615,44
390,630,30
390,645,22
390,660,25
390,675,21
390,690,18
390,705,17
390,720,16
390,735,8
390,750,11
390,765,12
390,780,11
390,795,8
390,810,10
390,825,8
390,840,6
390,855,5
390,870,1
390,885,6
390,900,3
390,915,1
390,930,1
390,945,2
390,960,4
390,975,3
390,990,1
390,1005,3
390,1020,1
390,1035,3
390,1050,2
390,1065,5
390,1080,3
390,1095,1
390,1110,3
390,1125,1
390,1140,1
390,1185,1
390,1200,2
390,1260,2
390,1275,1
390,1335,1
405,60,1
405,375,10
405,390,15269
405,405,52140
405,420,4464
405,435,1180
405,450,616
405,465,373
405,480,254
405,495,182
405,510,142
405,525,114
405,540,81
405,555,73
405,570,58
405,585,47
405,600,33
405,615,36
405,630,31
405,645,18
405,660,23
405,675,18
405,690,16
405,705,9
405,720,16
405,735,4
405,750,10
405,765,10
405,780,6
405,795,5
405,810,4
405,825,7
405,840,8
405,855,7
405,870,2
405,885,4
405,900,3
405,915,1
405,930,3
405,960,2
405,975,1
405,990,2
405,1035,1
405,1050,2
405,1065,2
405,1080,2
405,1125,2
405,1275,1
405,1290,1
405,1350,2
420,390,4
420,405,20243
420,420,94679
420,435,6453
420,450,2006
420,465,1130
420,480,707
420,495,533
420,510,356
420,525,259
420,540,177
420,555,155
420,570,112
420,585,91
420,600,95
420,615,68
420,630,55
420,645,42
420,660,40
420,675,16
420,690,34
420,705,27
420,720,20
420,735,17
420,750,13
420,765,15
420,780,12
420,795,12
420,810,11
420,825,15
420,840,5
420,855,4
420,870,5
420,885,9
420,900,2
420,915,5
420,930,5
420,945,2
420,960,4
420,975,2
420,990,3
420,1005,2
420,1020,3
420,1035,3
420,1065,1
420,1080,6
420,1095,1
420,1125,1
420,1170,3
420,1185,2
420,1230,1
420,1260,1
420,1305,1
420,1395,1
420,1410,1
420,1440,1
435,390,1
435,405,12
435,420,19458
435,435,55358
435,450,4965
435,465,1476
435,480,868
435,495,527
435,510,350
435,525,269
435,540,188
435,555,151
435,570,100
435,585,83
435,600,66
435,615,45
435,630,40
435,645,34
435,660,34
435,675,37
435,690,22
435,705,18
435,720,28
435,735,13
435,750,10
435,765,6
435,780,15
435,795,9
435,810,11
435,825,3
435,840,3
435,855,3
435,870,4
435,885,4
435,900,3
435,915,1
435,930,3
435,945,1
435,960,1
435,1005,2
435,1020,3
435,1035,2
435,1050,2
435,1080,1
435,1095,2
435,1110,1
435,1140,1
435,1185,2
435,1245,2
435,1290,1
435,1365,1
450,420,5
450,435,18674
450,450,70226
450,465,6240
450,480,2099
450,495,1102
450,510,768
450,525,546
450,540,354
450,555,248
450,570,187
450,585,175
450,600,126
450,615,79
450,630,56
450,645,54
450,660,53
450,675,29
450,690,34
450,705,24
450,720,24
450,735,10
450,750,15
450,765,17
450,780,15
450,795,7
450,810,8
450,825,4
450,840,4
450,855,7
450,870,9
450,885,5
450,900,4
450,915,1
450,930,3
450,945,4
450,960,1
450,975,5
450,1005,1
450,1035,2
450,1050,2
450,1095,1
450,1125,2
450,1140,3
450,1185,1
450,1200,2
450,1230,1
450,1260,2
465,435,13
465,450,16108
465,465,54973
465,480,6482
465,495,1912
465,510,1004
465,525,627
465,540,439
465,555,312
465,570,225
465,585,162
465,600,119
465,615,92
465,630,78
465,645,61
465,660,61
465,675,43
465,690,30
465,705,28
465,720,26
465,735,10
465,750,13
465,765,18
465,780,12
465,795,7
465,810,8
465,825,7
465,840,10
465,855,2
465,870,4
465,885,7
465,900,5
465,915,4
465,930,5
465,945,3
465,975,2
465,990,2
465,1005,1
465,1020,3
465,1035,2
465,1080,2
465,1125,1
465,1155,2
465,1170,1
465,1185,2
465,1200,1
465,1215,1
465,1305,1
480,390,1
480,435,1
480,450,19
480,465,19296
480,480,68456
480,495,7102
480,510,2431
480,525,1325
480,540,894
480,555,618
480,570,406
480,585,306
480,600,199
480,615,147
480,630,129
480,645,117
480,660,68
480,675,69
480,690,53
480,705,33
480,720,31
480,735,30
480,750,27
480,765,21
480,780,16
480,795,12
480,810,15
480,825,9
480,840,8
480,855,9
480,870,11
480,885,5
480,900,6
480,915,10
480,930,6
480,945,7
480,960,5
480,975,4
480,990,4
480,1005,1
480,1020,2
480,1035,2
480,1050,6
480,1065,1
480,1080,1
480,1095,1
480,1110,5
480,1125,2
480,1140,1
480,1155,1
480,1185,1
480,1215,1
480,1245,2
480,1260,1
480,1320,1
480,1335,1
480,1410,1
495,15,1
495,30,1
495,420,1
495,450,1
495,465,21
495,480,17710
495,495,60087
495,510,7315
495,525,2268
495,540,1227
495,555,807
495,570,530
495,585,386
495,600,306
495,615,236
495,630,166
495,645,135
495,660,109
495,675,90
495,690,76
495,705,47
495,720,41
495,735,36
495,750,20
495,765,16
495,780,18
495,795,13
495,810,10
495,825,11
495,840,13
495,855,9
495,870,5
495,885,5
495,900,5
495,915,5
495,930,4
495,945,4
495,960,2
495,975,3
495,990,1
495,1005,2
495,1020,3
495,1035,1
495,1050,2
495,1065,2
495,1080,1
495,1110,1
495,1125,1
495,1155,1
495,1185,1
495,1200,1
495,1215,1
495,1230,1
495,1260,1
495,1410,1
510,480,22
510,495,19343
510,510,75132
510,525,8711
510,540,2858
510,555,1609
510,570,1087
510,585,700
510,600,508
510,615,373
510,630,261
510,645,178
510,660,130
510,675,101
510,690,92
510,705,76
510,720,61
510,735,39
510,750,41
510,765,25
510,780,24
510,795,25
510,810,18
510,825,16
510,840,17
510,855,9
510,870,9
510,885,9
510,900,8
510,915,7
510,930,3
510,945,4
510,960,2
510,975,4
510,990,6
510,1005,1
510,1020,1
510,1050,2
510,1065,2
510,1080,2
510,1095,1
510,1125,1
510,1140,1
510,1155,1
510,1170,1
510,1200,1
510,1245,1
510,1260,1
510,1290,1
510,1320,1
510,1440,1
525,495,15
525,510,18529
525,525,66957
525,540,8673
525,555,2719
525,570,1468
525,585,919
525,600,690
525,615,488
525,630,305
525,645,221
525,660,158
525,675,137
525,690,115
525,705,79
525,720,58
525,735,48
525,750,38
525,765,30
525,780,24
525,795,24
525,810,16
525,825,11
525,840,15
525,855,6
525,870,6
525,885,6
525,900,8
525,915,7
525,930,6
525,945,3
525,960,2
525,975,2
525,990,2
525,1005,1
525,1020,1
525,1035,2
525,1050,3
525,1065,1
525,1080,2
525,1095,1
525,1110,1
525,1140,2
525,1200,2
525,1230,1
525,1245,1
525,1350,1
525,1425,2
525,1440,1
540,510,36
540,525,18335
540,540,70656
540,555,8600
