"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-1,-1,2,2,0,3829514.198366,0,"standard","unif"
-1,-1,2,2,0,3829514.198366,0,"random","unif"
-0.966666666666667,-0.966666666666667,2,2,4714.04520791017,3829514.198366,0.00123097734170083,"standard","unif"
-0.966666666666667,-0.966666666666667,2,2,14867.0315511982,3829514.198366,0.00388222390128275,"random","unif"
-0.933333333333333,-0.933333333333333,2,2,9428.09041582057,3829514.198366,0.00246195468340172,"standard","unif"
-0.933333333333333,-0.933333333333333,2,2,24892.4203700791,3829514.198366,0.00650015095405581,"random","unif"
-0.9,-0.9,2,2,14142.1356237307,3829514.198366,0.00369293202510255,"standard","unif"
-0.9,-0.9,2,2,34511.4631834427,3829514.198366,0.00901196898503948,"random","unif"
-0.866666666666667,-0.866666666666667,2,2,18856.1808316416,3829514.198366,0.00492390936680356,"standard","unif"
-0.866666666666667,-0.866666666666667,2,2,43676.1787216053,3829514.198366,0.0114051486583445,"random","unif"
-0.833333333333333,-0.833333333333333,2,2,23570.2260395517,3829514.198366,0.00615488670850439,"standard","unif"
-0.833333333333333,-0.833333333333333,2,2,52395.9332719735,3829514.198366,0.0136821357900514,"random","unif"
-0.8,-0.8,2,2,28284.2712474622,3829514.198366,0.00738586405020528,"standard","unif"
-0.8,-0.8,2,2,60386.6656950089,3829514.198366,0.0157687535721307,"random","unif"
-0.766666666666667,-0.766666666666667,2,2,32998.3164553723,3829514.198366,0.00861684139190612,"standard","unif"
-0.766666666666667,-0.766666666666667,2,2,67850.6879810977,3829514.198366,0.0177178316795505,"random","unif"
-0.733333333333333,-0.733333333333333,2,2,37712.3616632824,3829514.198366,0.00984781873360692,"standard","unif"
-0.733333333333333,-0.733333333333333,2,2,74982.3656680227,3829514.198366,0.0195801247322746,"random","unif"
-0.7,-0.7,2,2,42426.4068711926,3829514.198366,0.0110787960753078,"standard","unif"
-0.7,-0.7,2,2,82175.159232971,3829514.198366,0.0214583769575874,"random","unif"
-0.666666666666667,-0.666666666666667,2,2,47140.452079103,3829514.198366,0.0123097734170086,"standard","unif"
-0.666666666666667,-0.666666666666667,2,2,87895.6880254688,3829514.198366,0.0229521770837075,"random","unif"
-0.633333333333333,-0.633333333333333,2,2,51854.4972870132,3829514.198366,0.0135407507587095,"standard","unif"
-0.633333333333333,-0.633333333333333,2,2,93608.0273786651,3829514.198366,0.0244438387037725,"random","unif"
-0.6,-0.6,2,2,56568.542494924,3829514.198366,0.0147717281004105,"standard","unif"
-0.6,-0.6,2,2,99030.3534227968,3829514.198366,0.0258597692274001,"random","unif"
-0.566666666666667,-0.566666666666667,2,2,61282.5877028342,3829514.198366,0.0160027054421113,"standard","unif"
-0.566666666666667,-0.566666666666667,2,2,104058.233232103,3829514.198366,0.0271726981131193,"random","unif"
-0.533333333333333,-0.533333333333333,2,2,65996.6329107446,3829514.198366,0.0172336827838122,"standard","unif"
-0.533333333333333,-0.533333333333333,2,2,108881.622099763,3829514.198366,0.0284322283349207,"random","unif"
-0.5,-0.5,2,2,70710.6781186548,3829514.198366,0.018464660125513,"standard","unif"
-0.5,-0.5,2,2,113071.8891174,3829514.198366,0.0295264316203989,"random","unif"
-0.466666666666667,-0.466666666666667,2,2,75424.7233265649,3829514.198366,0.0196956374672139,"standard","unif"
-0.466666666666667,-0.466666666666667,2,2,116924.350009214,3829514.198366,0.0305324236842113,"random","unif"
-0.433333333333333,-0.433333333333333,2,2,80138.7685344753,3829514.198366,0.0209266148089148,"standard","unif"
-0.433333333333333,-0.433333333333333,2,2,120452.228565934,3829514.198366,0.0314536576512314,"random","unif"
-0.4,-0.4,2,2,84852.8137423855,3829514.198366,0.0221575921506156,"standard","unif"
-0.4,-0.4,2,2,123908.916246797,3829514.198366,0.0323563015642213,"random","unif"
-0.366666666666667,-0.366666666666667,2,2,89566.8589502963,3829514.198366,0.0233885694923166,"standard","unif"
-0.366666666666667,-0.366666666666667,2,2,126792.560294201,3829514.198366,0.0331093067492219,"random","unif"
-0.333333333333333,-0.333333333333333,2,2,94280.9041582065,3829514.198366,0.0246195468340174,"standard","unif"
-0.333333333333333,-0.333333333333333,2,2,129293.739149645,3829514.198366,0.033762438902776,"random","unif"
-0.3,-0.3,2,2,98994.9493661169,3829514.198366,0.0258505241757183,"standard","unif"
-0.3,-0.3,2,2,131833.500189788,3829514.198366,0.0344256460117158,"random","unif"
-0.266666666666667,-0.266666666666667,2,2,103708.994574027,3829514.198366,0.0270815015174192,"standard","unif"
-0.266666666666667,-0.266666666666667,2,2,133801.341932351,3829514.198366,0.034939507990189,"random","unif"
-0.233333333333333,-0.233333333333333,2,2,108423.039781937,3829514.198366,0.02831247885912,"standard","unif"
-0.233333333333333,-0.233333333333333,2,2,135753.115009878,3829514.198366,0.035449173962536,"random","unif"
-0.2,-0.2,2,2,113137.084989847,3829514.198366,0.0295434562008208,"standard","unif"
-0.2,-0.2,2,2,137250.035831311,3829514.198366,0.0358400644890867,"random","unif"
-0.166666666666667,-0.166666666666667,2,2,117851.130197758,3829514.198366,0.0307744335425217,"standard","unif"
-0.166666666666667,-0.166666666666667,2,2,138477.000022875,3829514.198366,0.036160461314378,"random","unif"
-0.133333333333333,-0.133333333333333,2,2,122565.175405668,3829514.198366,0.0320054108842225,"standard","unif"
-0.133333333333333,-0.133333333333333,2,2,139554.753216572,3829514.198366,0.0364418947124202,"random","unif"
-0.1,-0.1,2,2,127279.220613579,3829514.198366,0.0332363882259235,"standard","unif"
-0.1,-0.1,2,2,140398.459502341,3829514.198366,0.0366622115051165,"random","unif"
-0.0666666666666667,-0.0666666666666667,2,2,131993.265821489,3829514.198366,0.0344673655676244,"standard","unif"
-0.0666666666666667,-0.0666666666666667,2,2,140985.690649035,3829514.198366,0.0368155550145739,"random","unif"
-0.0333333333333333,-0.0333333333333333,2,2,136707.311029399,3829514.198366,0.0356983429093252,"standard","unif"
-0.0333333333333333,-0.0333333333333333,2,2,141318.189446055,3829514.198366,0.0369023803349138,"random","unif"
0,0,2,2,141421.35623731,3829514.198366,0.0369293202510261,"standard","unif"
0,0,2,2,141421.35623731,3829514.198366,0.0369293202510261,"random","unif"
-2,-2,4,4,170541.825304912,3829514.198366,0.0445335404103424,"standard","unif"
-2,-2,4,4,170541.825304912,3829514.198366,0.0445335404103424,"random","unif"
-1.93333333333333,-1.93333333333333,4,4,167278.314552596,3829514.198366,0.0436813407361099,"standard","unif"
-1.93333333333333,-1.93333333333333,4,4,180919.903317032,3829514.198366,0.0472435650961232,"random","unif"
-1.86666666666667,-1.86666666666667,4,4,164137.584514602,3829514.198366,0.0428612027563802,"standard","unif"
-1.86666666666667,-1.86666666666667,4,4,186206.877718512,3829514.198366,0.0486241512821559,"random","unif"
-1.8,-1.8,4,4,161132.461407799,3829514.198366,0.0420764757776721,"standard","unif"
-1.8,-1.8,4,4,191171.371363023,3829514.198366,0.0499205281559193,"random","unif"
-1.73333333333333,-1.73333333333333,4,4,158276.945000196,3829514.198366,0.0413308155555945,"standard","unif"
-1.73333333333333,-1.73333333333333,4,4,196273.674542104,3829514.198366,0.0512528911959253,"random","unif"
-1.66666666666667,-1.66666666666667,4,4,155586.180852723,3829514.198366,0.0406281770463493,"standard","unif"
-1.66666666666667,-1.66666666666667,4,4,200622.908086093,3829514.198366,0.0523886053671498,"random","unif"
-1.6,-1.6,4,4,153076.3695561,3829514.198366,0.0399727907057808,"standard","unif"
-1.6,-1.6,4,4,204910.707259474,3829514.198366,0.0535082771979033,"random","unif"
-1.53333333333333,-1.53333333333333,4,4,150764.593839388,3829514.198366,0.0393691173422772,"standard","unif"
-1.53333333333333,-1.53333333333333,4,4,208445.805613239,3829514.198366,0.0544313964685597,"random","unif"
-1.46666666666667,-1.46666666666667,4,4,148668.544941336,3829514.198366,0.038821776664197,"standard","unif"
-1.46666666666667,-1.46666666666667,4,4,211221.720039839,3829514.198366,0.0551562702470104,"random","unif"
-1.4,-1.4,4,4,146806.133739479,3829514.198366,0.0383354457341141,"standard","unif"
-1.4,-1.4,4,4,214057.155025536,3829514.198366,0.0558966866128532,"random","unif"
-1.33333333333333,-1.33333333333333,4,4,145194.981173777,3829514.198366,0.0379147259032828,"standard","unif"
-1.33333333333333,-1.33333333333333,4,4,216132.142030159,3829514.198366,0.0564385274044366,"random","unif"
-1.26666666666667,-1.26666666666667,4,4,143851.797217525,3829514.198366,0.0375639806424805,"standard","unif"
-1.26666666666667,-1.26666666666667,4,4,217823.905443206,3829514.198366,0.0568802971238879,"random","unif"
-1.2,-1.2,4,4,142791.677379454,3829514.198366,0.0372871518377922,"standard","unif"
-1.2,-1.2,4,4,218697.437191322,3829514.198366,0.0571084022314468,"random","unif"
-1.13333333333333,-1.13333333333333,4,4,142027.36769717,3829514.198366,0.0370875678585474,"standard","unif"
-1.13333333333333,-1.13333333333333,4,4,220496.847976137,3829514.198366,0.0575782818797798,"random","unif"
-1.06666666666667,-1.06666666666667,4,4,141568.568371063,3829514.198366,0.0369677617154334,"standard","unif"
-1.06666666666667,-1.06666666666667,4,4,219816.116855518,3829514.198366,0.0574005227475877,"random","unif"
-1,-1,4,4,141421.35623731,3829514.198366,0.0369293202510261,"standard","unif"
-1,-1,4,4,220697.669684491,3829514.198366,0.057630722397807,"random","unif"
-0.933333333333333,-0.933333333333333,4,4,141587.801675512,3829514.198366,0.0369727841029875,"standard","unif"
-0.933333333333333,-0.933333333333333,4,4,220015.372174412,3829514.198366,0.0574525542347614,"random","unif"
-0.866666666666667,-0.866666666666667,4,4,142065.834306066,3829514.198366,0.0370976126336557,"standard","unif"
-0.866666666666667,-0.866666666666667,4,4,219476.005281068,3829514.198366,0.05731170950475,"random","unif"
-0.8,-0.8,4,4,142849.377292799,3829514.198366,0.0373022190004546,"standard","unif"
-0.8,-0.8,4,4,218053.603998144,3829514.198366,0.0569402782450016,"random","unif"
-0.733333333333333,-0.733333333333333,4,4,143928.730435318,3829514.198366,0.0375840701926971,"standard","unif"
-0.733333333333333,-0.733333333333333,4,4,216320.835759802,3829514.198366,0.0564878009466849,"random","unif"
-0.666666666666667,-0.666666666666667,4,4,145291.147696018,3829514.198366,0.0379398378410535,"standard","unif"
-0.666666666666667,-0.666666666666667,4,4,214502.020118528,3829514.198366,0.0560128541134676,"random","unif"
-0.6,-0.6,4,4,146921.533566169,3829514.198366,0.038365580059439,"standard","unif"
-0.6,-0.6,4,4,211556.672365702,3829514.198366,0.0552437362566694,"random","unif"
-0.533333333333333,-0.533333333333333,4,4,148803.178072474,3829514.198366,0.038856933377076,"standard","unif"
