"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
0,0,2,2,76472.6240033703,3828376.12680617,0.0199752118053165,"standard","unif"
0,0,2,2,99427.2967539408,3828376.12680617,0.0259711411472227,"random","unif"
0,0,2,4,118684.792312553,3828376.12680617,0.0310013406158098,"standard","unif"
0,0,2,4,157249.110211754,3828376.12680617,0.0410746240712088,"random","unif"
0,0,2,6,164027.316113166,3828376.12680617,0.0428451413027711,"standard","unif"
0,0,2,6,218194.15319104,3828376.12680617,0.0569939175159023,"random","unif"
0,0,2,8,212269.970990606,3828376.12680617,0.0554464775559272,"standard","unif"
0,0,2,8,291029.26934098,3828376.12680617,0.0760189855179594,"random","unif"
0,0,2,10,260838.085773233,3828376.12680617,0.0681328263299033,"standard","unif"
0,0,2,10,340912.511644199,3828376.12680617,0.0890488552723803,"random","unif"
0,0,2,12,313028.853236189,3828376.12680617,0.0817654386266728,"standard","unif"
0,0,2,12,418069.355139575,3828376.12680617,0.109202790241081,"random","unif"
0,0,2,14,363850.497547402,3828376.12680617,0.0950404258870313,"standard","unif"
0,0,2,14,471751.202724856,3828376.12680617,0.123224883631906,"random","unif"
0,0,2,16,415788.168958946,3828376.12680617,0.108606927633785,"standard","unif"
0,0,2,16,542340.932987281,3828376.12680617,0.14166344032652,"random","unif"
0,0,2,18,452471.537365948,3828376.12680617,0.118188893248434,"standard","unif"
0,0,2,18,590142.837250027,3828376.12680617,0.154149649277631,"random","unif"
0,0,2,20,506597.598724954,3828376.12680617,0.132327018543913,"standard","unif"
0,0,2,20,643987.732579501,3828376.12680617,0.168214331938369,"random","unif"
0,0,4,2,118725.424626082,3828376.12680617,0.0310119540749327,"standard","unif"
0,0,4,2,157241.200078922,3828376.12680617,0.0410725578863382,"random","unif"
0,0,4,4,153121.454771125,3828376.12680617,0.0399964501133975,"standard","unif"
0,0,4,4,205397.521703317,3828376.12680617,0.0536513432588637,"random","unif"
0,0,4,6,193226.3219788,3828376.12680617,0.0504721363780938,"standard","unif"
0,0,4,6,259436.069569683,3828376.12680617,0.0677666093864497,"random","unif"
0,0,4,8,237407.679876007,3828376.12680617,0.0620126319913254,"standard","unif"
0,0,4,8,326963.28427944,3828376.12680617,0.0854052144955281,"random","unif"
0,0,4,10,283132.313713649,3828376.12680617,0.0739562426301756,"standard","unif"
0,0,4,10,373313.370135483,3828376.12680617,0.0975121978014528,"random","unif"
0,0,4,12,332809.005466134,3828376.12680617,0.086932159861675,"standard","unif"
0,0,4,12,446268.377644889,3828376.12680617,0.11656858230834,"random","unif"
0,0,4,14,381953.526248299,3828376.12680617,0.0997690701218911,"standard","unif"
0,0,4,14,496194.484339515,3828376.12680617,0.129609648557041,"random","unif"
0,0,4,16,432291.633692744,3828376.12680617,0.112917753996493,"standard","unif"
